UNIQ_ID,FCODE_TYPE,SETL_CODE,SETL_NAME,NAME,LATIN_NAME,USG_GROUP,USG_CODE,E_ORD,N_ORD,DATA_YEAR,PRDCT_VER,X,Y,FID
54016264,222,400,אבן שמואל,בית ספר,School,13,5337,177391.732327,609371.896794,0,,177391.732327,609371.896794,5110
54015337,222,3000,ירושלים,בית ספר - בן יהודה,,13,5310,221538.943927,630186.774294,0,,221538.943927,630186.774294,5111
53974576,222,1031,שדרות,גן ילדים - רותם,,13,5305,162656.137027,604162.158494,0,,162656.137027,604162.158494,5112
53978365,222,4100,קצרין,מרכז פדגוגי,Pedagogical,13,5300,264706.829327,766838.537494,0,,264706.829327,766838.537494,5113
53980588,222,9300,זכרון יעקב,גן ילדים - רקפת,Rakkefet Kindergarten,13,5305,195491.246227,721197.439694,0,,195491.246227,721197.439694,5114
53973253,222,5000,תל אביב -יפו,בית הספר לאומנויות החממה,,13,5300,179561.497327,663650.018994,0,,179561.497327,663650.018994,5115
53970390,222,31,אופקים,גן ילדים - בית וגן,Bayit Vagan Kindergarten,13,5305,163695.619127,579857.729794,0,,163695.619127,579857.729794,5116
53989679,222,8400,רחובות,המכללה - למנהל רחובות,,13,5370,182160.751227,644917.344294,0,,182160.751227,644917.344294,5117
54016265,222,1167,קיסריה,גן ילדים,Kindergarten,13,5305,192209.350227,710611.882794,0,,192209.350227,710611.882794,5118
53978378,222,8000,צפת,HIGH Q,HIGH Q,13,5300,246694.723927,763430.430294,0,,246694.723927,763430.430294,5119
53970028,222,4000,חיפה,כולל - בית אברהם,,13,5340,205456.909527,748726.848894,0,,205456.909527,748726.848894,5120
53985372,222,1200,מודיעין-מכבים-רעות,גן ילדים - גן שלהבת,,13,5305,200429.665527,643945.085794,0,,200429.665527,643945.085794,5121
53985373,222,1200,מודיעין-מכבים-רעות,גן ילדים - גן אור,Gan Or Kindergarten,13,5305,200428.665527,643945.085794,0,,200428.665527,643945.085794,5122
53985378,222,8700,רעננה,גן ילדים - דקל תמר,,13,5305,188683.640927,676148.749594,0,,188683.640927,676148.749594,5123
53980595,222,0,,פנימיה,,13,5338,211390.767727,603987.694894,0,,211390.767727,603987.694894,5124
54017737,222,7600,עכו,בית ספר - פרנצ'סקי,,13,5310,206877.056527,758439.071894,0,,206877.056527,758439.071894,5125
53973255,222,8700,רעננה,גן ילדים - צבעוני,Tsiv'oni Kindergarten,13,5305,187653.899227,677234.100294,0,,187653.899227,677234.100294,5126
53971106,222,2550,גדרה,בית ספר ניר,Nir School,13,5300,179001.899627,635801.276694,2014,2015-07,179001.899627,635801.276694,5127
53970392,222,31,אופקים,גן ילדים,Kindergarten,13,5305,163619.306927,580791.367694,0,,163619.306927,580791.367694,5128
53980232,222,3000,ירושלים,היכל לתורה גבורת ארי,,13,5340,219644.306927,633635.449194,0,,219644.306927,633635.449194,5129
53989683,222,634,כפר קאסם,מרכז חינוכי אומנותי וספורט,,13,5300,197192.080927,669129.257994,2014,2015-07,197192.080927,669129.257994,5130
53974579,222,9000,באר שבע,גן ילדים - גן יחדיו,,13,5305,178748.757927,571841.764194,0,,178748.757927,571841.764194,5131
53971698,222,804,אחיסמך,גן ילדים,Kindergarten,13,5305,191468.851827,649374.518094,0,,191468.851827,649374.518094,5132
53973256,222,778,תרום,גן ילדים,Kindergarten,13,5305,198346.345627,632312.981394,0,,198346.345627,632312.981394,5133
54014614,222,2650,רמת השרון,גן ילדים - זית,Zayit Kindergarten,13,5305,186212.251427,670587.102994,0,,186212.251427,670587.102994,5134
53974671,222,6700,טבריה,גן ילדים - מדעי,,13,5305,249095.141727,743933.567694,0,,249095.141727,743933.567694,5135
53971746,222,8000,צפת,"ישיבת - בית מנחם חב""ד",,13,5340,246573.063627,764177.560394,0,,246573.063627,764177.560394,5136
53974902,222,9000,באר שבע,גן ילדים - גן אביב,,13,5305,177236.405327,574144.989594,0,,177236.405327,574144.989594,5137
53974069,222,6400,הרצלייה,גן ילדים - נעמת,Na'amat Kindergarten,13,5305,184373.785027,674692.257894,0,,184373.785027,674692.257894,5138
53980597,222,6100,בני ברק,כולל - מגן אברהם,,13,5340,185116.184327,664629.149894,0,,185116.184327,664629.149894,5139
53971747,222,7300,נצרת,בית ספר,School,13,5310,228513.483827,734268.210194,0,,228513.483827,734268.210194,5140
54018716,222,0,,גן ילדים - חסדי דוד,,13,5305,209397.790827,675260.990094,0,,209397.790827,675260.990094,5141
54015338,222,9000,באר שבע,גן ילדים - שיבולת,,13,5305,178683.899227,574272.016794,0,,178683.899227,574272.016794,5142
54016340,222,1268,מיתר,גן ילדים - הזית,,13,5305,194081.097927,581411.620694,0,,194081.097927,581411.620694,5143
54017594,222,6600,חולון,גן ילדים - גן אמנון ותמר,Gan Amnon VeTamar Kindergarten,13,5305,180380.702327,656721.982894,0,,180380.702327,656721.982894,5144
53971107,222,3000,ירושלים,גן ילדים,Kindergarten,13,5305,223484.629727,636268.299694,0,,223484.629727,636268.299694,5145
53985386,222,638,קלנסווה,בית ספרלנהיגה,,13,5300,198455.149527,687983.137794,2014,2015-07,198455.149527,687983.137794,5146
53974085,222,1242,נתיב העשרה,גן ילדים,Kindergarten,13,5305,156285.764927,609110.788494,0,,156285.764927,609110.788494,5147
53981177,222,1034,קריית מלאכי,מוסד חינוך מרכז להוראת מדעים,,13,5300,175906.221927,626474.710494,0,,175906.221927,626474.710494,5148
53971751,222,394,שובל,קרית חינוך,Educational Campus,13,5300,175823.197527,591477.127794,0,,175823.197527,591477.127794,5149
53988026,222,1200,מודיעין-מכבים-רעות,גן ילדים - גן ברקת,Gan Bareket Kindergarten,13,5305,199421.371727,645428.974494,0,,199421.371727,645428.974494,5150
53970398,222,0,,סמינר בית יעקב נתיבות החכמה,,13,5370,211609.232627,623490.283794,0,,211609.232627,623490.283794,5151
53974903,222,31,אופקים,מרכז לגנים ומעוני יום,Kindergartens & Day Care Centers,13,5300,164787.843027,578624.348294,0,,164787.843027,578624.348294,5152
53976835,222,1200,מודיעין-מכבים-רעות,גן ילדים - רותם,,13,5305,202222.470427,645007.089094,0,,202222.470427,645007.089094,5153
54015506,222,1137,קריית יערים,ישיבת - כתר דוד,,13,5340,209770.940227,634581.985694,0,,209770.940227,634581.985694,5154
53984388,222,70,אשדוד,"גן ילדים - מ""מ דגנית",,13,5305,165493.658027,632279.824294,0,,165493.658027,632279.824294,5155
53974087,222,2200,דימונה,גן ילדים - צבעוני,Tsiv'oni Kindergarten,13,5305,202590.888427,553807.352994,0,,202590.888427,553807.352994,5156
53974300,222,0,,גן ילדים - גן נרקיס,Gan Narkis Kindergarten,13,5305,211411.788927,605780.894794,0,,211411.788927,605780.894794,5157
53971756,222,666,עומר,גן ילדים - גן תפוז,,13,5305,186274.815827,575844.754794,0,,186274.815827,575844.754794,5158
53988031,222,8500,רמלה,בית ספר לנהיגה חץ,,13,5300,186569.877827,649459.598194,2014,2015-07,186569.877827,649459.598194,5159
53986959,222,3000,ירושלים,ישיבת - שם עולם,,13,5340,217514.787927,630345.467994,0,,217514.787927,630345.467994,5160
53985431,222,99,מצפה רמון,גן ילדים - גן קשת,,13,5305,180572.906327,502369.627494,0,,180572.906327,502369.627494,5161
53985432,222,1139,כרמיאל,גן ילדים - דני,,13,5305,226927.001527,757503.822194,0,,226927.001527,757503.822194,5162
53985435,222,508,כפר כמא,גן ילדים,Kindergarten,13,5305,242112.621227,736637.360694,0,,242112.621227,736637.360694,5163
53985084,222,9700,הוד השרון,גן ילדים - גן ארז,Gan Erez Kindergarten,13,5305,189866.936627,673774.932494,0,,189866.936627,673774.932494,5164
54017680,222,8600,רמת גן,גן ילדים - בארית,Be'erit Kindergarten,13,5305,181532.399327,665356.190894,0,,181532.399327,665356.190894,5165
53985152,222,6300,גבעתיים,גן ילדים - יען,,13,5305,182517.814427,664577.872794,0,,182517.814427,664577.872794,5166
53986867,222,4000,חיפה,בית ספר לנהיגה אומן,,13,5300,198847.207827,748039.033794,2014,2015-07,198847.207827,748039.033794,5167
54019108,222,8300,ראשון לציון,גן ילדים - גן קרני החמה,,13,5305,177789.305827,654212.955094,0,,177789.305827,654212.955094,5168
53986890,222,2610,בית שמש,גן ילדים - כלנית,Kallanit Kindergarten,13,5305,198344.690427,627804.221594,0,,198344.690427,627804.221594,5169
53986893,222,2560,ערד,גן ילדים - גן ערבה,Gan Arava Kindergarten,13,5305,219610.022927,574058.938894,0,,219610.022927,574058.938894,5170
53987987,222,0,,גן ילדים - גן שקמה,Gan Shikma Kindergarten,13,5305,228020.853227,630906.751894,0,,228020.853227,630906.751894,5171
53987989,222,7600,עכו,בית ספר - הגבוה לבנות,,13,5337,208822.456227,759553.854594,0,,208822.456227,759553.854594,5172
53987998,222,6100,בני ברק,"ישיבת - חב""ד בית מנחם",,13,5340,184505.311927,666833.260994,0,,184505.311927,666833.260994,5173
54019340,222,2630,קריית גת,מרכז חינוכי,Education Center,13,5300,177731.750327,613537.700294,0,,177731.750327,613537.700294,5174
53988563,222,8300,ראשון לציון,גן ילדים - גן רימון זהב,,13,5305,181209.432827,653151.545894,0,,181209.432827,653151.545894,5175
54019488,222,6600,חולון,"גן ילדים - מ""מ ברקת",,13,5305,178092.812127,658329.402494,0,,178092.812127,658329.402494,5176
53988566,222,2620,קריית אונו,מחלקה לקידום נוער,Youth Advancement  Dept.,13,5300,186921.366427,662249.468494,0,,186921.366427,662249.468494,5177
54019490,222,2730,טייבה,גן ילדים,Kindergarten,13,5305,201643.970427,686030.377194,2014,2015-07,201643.970427,686030.377194,5178
53988261,222,1137,קריית יערים,בית ספר - לבנות אוהל חסיה,,13,5321,209542.979527,634368.416094,0,,209542.979527,634368.416094,5179
